planet_name,status
Aaamazzara,Habitable
Acamar_III,Habitable
Achrady_VII,Habitable
Adarak_Prime,Habitable
Adelphous_IV,Intact
Adigeon_Prime,Habitable
Agaron,Habitable
Ahmedeen,Intact
Aia,Devastated
Ajilon_Prime,Habitable
Akritiri,Habitable
Alastria,Intact
Alcor_IV,Habitable
Aldea,Habitable
Aldebaran_III,Habitable
Aldebaron_III,Habitable
Alderaan,Habitable
Alfa_177,Habitable
Algeron_IV,Intact
Algol_I,Habitable
Alondra,Destroyed
Alpha_I,Habitable
Alpha_III,Habitable
Alpha_VII,Habitable
Alpha_Balder_IV,Habitable
Alpha_Braga_IV,Habitable
Alpha_Braga_VII,Habitable
Alpha_Carinae_II,Habitable
Alpha_Carinae_V,Habitable
Alpha_Centauri_(planet),Habitable
Alpha_Cygnus_IX,Habitable
Alpha_Delphi_IX,Habitable
Alpha_Eridani_II,Habitable
Alpha_Laputa_IV,Habitable
Alpha_Majoris_I,Habitable
Alpha_Omicron_VII,Intact
Alpha_Onias_III,Habitable
Alshain_IV,Habitable
Altair_III,Intact
Altair_IV,Habitable
Altair_VI,Habitable
Altamid,Habitable
Alture_VII,Habitable
Amerind,Habitable
Amleth_Prime,Habitable
Andevian_II,Intact
Andoria_Prime,Habitable
Andros_III,Habitable
Angel_I,Habitable
Angosia_III,Habitable
Antede_III,Habitable
Antica,Habitable
Antica_IV,Intact
Antide_Prime,Intact
Antos_IV,Habitable
Apergos,Habitable
AR-558,Intact
Arakis_Prime,Intact
Archer_IV,Habitable
Archer's_Planet,Intact
Ardana,Habitable
Areolus,Habitable
Argelius_II,Habitable
Argeth,Habitable
Argo_(planet),Habitable
Argona_II,Intact
Argratha,Habitable
Argus_X,Habitable
Ariannus,Habitable
Arkaria,Habitable
Arlington_IV,Intact
Arloff_IX,Intact
Armus_IX,Habitable
Arnold's_Planet,Intact
Arret,Uninhabitable
Arret_(negative),Habitable
Arvada_III,Habitable
Aschelan_V,Habitable
Atalia_VII,Habitable
Atbar_Prime,Habitable
Athan_Prime,Intact
Athos_IV,Habitable
Atifs_IV,Habitable
Atlec,Habitable
Atrea_IV,Habitability
'aucdet_IX,Intact
Avenal_VII,Habitable
Axanar_(planet),Habitable
B'Saari_II,Habitable
Ba'ku_(planet),Habitable
Babel,Habitable
Bajor,Habitable
Bajor_I,Intact
Bajor_II,Intact
Bajor_III,Intact
Bajor_IV,Intact
Bajor_V,Intact
Bajor_VI,Intact
Bajor_VII,Intact
Bajor_VIII,Habitable
Bajor_IX,Intact
Bajor_X,Intact
Bajor_XII,Intact
Bajor_XIII,Intact
Bajor_XIV,Intact
Balancar,Habitable
Balkus_9,Habitable
Balosnee_VI,Habitable
Barisa_Prime,Habitable
Barkon_IV,Habitable
Barson_II,Habitable
Barzan_II,Inhabited
Bayard's_Planet,Intact
Beltane_IX,Habitable
Benecia,Habitable
Benev_Selec,Habitable
Benthos_IV,Habitable
Benzar,Habitable
Berengaria_VII,Habitable
Bergman's_Planet,Intact
Bernay_Prime,Intact
Bersallis_III,Intact
Beta_III,Habitable
Beta_V,Intact
Beta_VI,Habitable
Beta_XII-A,Habitable
Beta_Agni_II,Habitable
Beta_Antares_IV,Habitable
Beta_Aquilae_II,Habitable
Beta_Berman_I,Habitable
Beta_Canopus,Habitable
Beta_Eminiar_VII,Habitable
Beta_Penthe_I,Intact
Beta_Penthe_II,Intact
Beta_Penthe_III,Intact
Beta_Penthe_IV,Intact
Beta_Penthe_V,Intact
Beta_Penthe_VII,Intact
Beta_Tottoro_IV,Habitable
Beta_Ursae_Minor_II,Habitable
Beta'Elan_Minor,Habitable
Betazed,Habitable
Beth_Delta_I,Habitable
Bezride,Intact
Bilana_III,Habitable
Binar_III,Habitable
Blue_Horizon,Habitable
Bokara_VI,Habitable
Bolarus_IX,Habitable
Bootes_III,Habitable
Bopak_III,Habitable
Boraal_II,Uninhabitable
Boradis_III,Habitable
Boranis_III,Habitable
Boreal_III,Habitable
Boreth,Habitable
Bozel_Prime,Habitable
Bracas_V,Habitable
Bragu's_homeworld,Habitable
Braslota_I,Intact
Braslota_II,Intact
Brax_(planet),Habitable
Breen_(planet),Habitable
Brekka,Habitable
Brentalia,Habitable
Breton's_Planet,Intact
Bringloid_V,Devastated
Brookshire's_Planet,Intact
Browder_IV,Intact
Bryma,Habitable
Buckley's_Planet,Intact
Burala_Prime,Habitable
Bynaus,Habitable
Caere,Habitable
Cajitar_IV,Habitable
Cal_Rae,Intact
Calder_II,Habitable
Caldik_Prime,Habitable
Caldonia,Habitable
Caldos,Habitable
Caleb_IV,Habitable
Callinon_VII,Intact
Calondia_IV,Habitable
Camor_V,Habitable
Campor_III,Habitable
Camus_II,Intact
Cancri_IV,Habitable
Carinae_Delta_V,Intact
Canopus_III,Habitable
Canopus_Major,Intact
Canopus_Planet,Habitable
Capella_IV,Habitable
Cardassia_Prime,Habitable
Cardassia_I,Intact
Cardassia_III,Habitable
Cardassia_IV,Habitable
Cardassia_V,Habitable
Carema_III,Intact
Carpi,Habitable
Castal_I,Intact
Catulla,Habitable
Celes_II,Habitable
Celtris_III,Habitable
Centauri_IV,Intact
Centauri_VII,Habitable
Centre_Minor,Intact
Cerberus,Habitable
Cerberus_II,Habitable
Cestus_III,Habitable
Ceti_Alpha_IV,Intact
Ceti_Alpha_V,Intact
Ceti_Alpha_VI,Destroyed
Chalna,Habitable
Chaltok_IV,Habitable
Chandra_V,Habitable
Chaya_VII,Habitable
Cheron,Intact
Cirrus_IV,Habitable
The_Colony,Habitable
Coltar_IV,Habitable
Coopersworld,Habitable
Coppelius,Habitable
Cor_Caroli_V,Habitable
Coridan,Habitable
Corinth_IV,Habitable
Crivo,Habitable
Cybulski's_Planet,Intact
Cygnet_XIV,Habitable
Cygnia_Minor,Habitable
Cytrax,Intact
Dakala,Habitable
Daled_V,Intact
Dalvos_Prime,Habitable
Dannus_I,Intact
Dannus_II,Intact
Dannus_III,Intact
Dannus_IV,Intact
Dannus_V,Habitable
Dannus_VI,Intact
Dansk,Habitable
Danula_II,Habitable
Daran_V,Habitable
Davlos_III,Habitable
Dayos_IV,Habitable
Decos_Prime,Habitable
Dedestris,Habitable
Deinonychus_VII,Intact
Dekendi_III,Habitable
Delb_II,Habitable
Delinia_II,Habitable
Delios_VII,Habitable
Delos_IV,Habitable
Delphi_Ardu_IV,Habitable
Delta_IV,Habitable
Delta_IX,Habitable
Delta_Scorpii_VII,Intact
Delta_Theta_III,Habitable
Delta_Vega,Habitable
Delta_Vega_(Vulcan_system),Habitable
Denaxi,Habitable
Deneb_II,Habitable
Deneb_IV,Habitable
Deneb_V,Habitable
Deneb_XX,Intact
Deneva,Habitable
Denius_III,Intact
Denkir_IV,Habitable
Denobula,Habitable
Deriben_V,Habitable
Dessica_II,Habitable
Detria_II,Destroyed
Detria_VI,Destroyed
Detrion_9,Intact
Devidia_II,Habitable
Devos_II,Habitable
Dimorus,Habitable
Doctari_Alpha,Habitable
Donatu_V,Habitable
Donatu_VII,Intact
Doraf_I,Intact
Dorvan_V,Habitable
Dozaria,Habitable
Draken_IV,Habitable
Dramia,Habitable
Dramia_II,Intact
Draylax,Habitable
Draylon_II,Habitable
Drema_IV,Habitable
Drema_V,Destroyed
Dreon_VII,Habitable
Dulaine,Habitable
Dulisian_IV,Habitable
Durenia_IV,Intact
Dytallix_B,Intact
Earth,Habitable
Eblar_Prime,Habitable
Eden,Intact
Edos,Habitable
Edrin_II,Intact
Ekos,Habitable
El-Adrel_IV,Habitable
Elas,Habitable
Elba_II,Intact
Emila_II,Intact
Eminiar_VII,Habitable
Enara_Prime,Habitable
Endicronimas_V,Habitable
Ennan_VI,Habitable
Epsilon_IV,Intact
Epsilon_Ashanti_III,Habitable
Epsilon_Canaris_III,Habitable
Epsilon_Hydra_VII,Habitable
Epsilon_Indi_II,Habitable
Epsilon_Indi_IV,Intact
Epsilon_Wiltz_IV,Habitable
Erabus_Prime,Habitable
Erb'oh,Intact
Eridani_D,Intact
Errikang_VII,Habitable
Evadne_IV,Intact
Excalbia,Intact
Exo_III,Intact
Fahleena_III,Habitable
Faralos_III,Habitable
Farius_Prime,Habitable
Farrar's_World,Intact
Felton_Prime,Habitable
Fendaus_V,Habitable
Fenris,Habitable
Ferenginar,Habitable
Ferris_VI,Habitable
Fina_Prime,Habitable
Finibus_I,Intact
Finibus_II,Intact
Finibus_III,Habitable
Finibus_IV,Intact
Finibus_V,Intact
Finibus_VI,Intact
Finnea_Prime,Habitable
Folnar_III,Habitable
Forcas_III,Inhabited
Forlat_III,Devastated
Free_Haven,Habitable
Freecloud,Habitable
Frylon_IV,Habitable
Gagarin_IV,Habitable
Gaia,Intact
Galador_II,Habitable
Galardon,Habitable
Galdonterre,Intact
Galen_IV,Habitable
Gallos_II,Habitable
Galor_IV,Habitable
Galorda_Prime,Intact
Galorndon_Core,Intact
Galvin_V,Habitable
Gamelan_V,Habitable
Gamma_Hydra_II,Intact
Gamma_Hydra_IV,Habitable
Gamma_Tauri_IV,Intact
Gamma_Trianguli_IV,Habitable
Gamma_Trianguli_VI,Habitable
Gamma_Vertis_IV,Habitable
Ganalda_IV,Habitable
Garadius_IV,Habitable
Garon_II,Intact
Gaspar_VII,Habitable
Gault,Habitable
Gedi_Prime,Habitable
Gelrak_V,Habitable
Gema_IV,Habitable
Gemaris_V,Habitable
Gemulon_V,Habitable
Genesis_(planet),Destroyed
Ghorusda,Habitable
Gideon_(planet),Habitable
Glish,Intact
Golana,Habitable
Golos_Prime,Habitable
Gonal_IV,Habitable
Gorath,Intact
Gothos,Habitable
Gravesworld,Habitable
Grazer,Intact
Grottonus,Habitable
Ha'Dara,Intact
Hakton_VII,Habitable
Hanoran_II,Habitable
Hansen's_Planet,Habitable
Harlak,Devasted
Harod_IV,Intact
Harrakis_V,Intact
Harstedt's_Planet,Intact
Haven,Habitable
Hekaras_II,Habitable
Hemikek_IV,Habitable
Hetemit_IX,Habitable
Heva_VII,Habitable
Hima,Habitable
Hindmar,Intact
Hispaniola_Minor,Intact
Hoek_IV,Intact
Holberg_917G,Habitable
Holna_IV,Intact
Hunhau,Habitable
Hurada_III,Habitable
Hurkos_III,Habitable
Hysperia,Habitable
Iconia,Devastated
Icor_IX,Habitable
Ilari_(planet),Habitable
Ilidaria,Habitable
Illyria,Habitable
Ilyra_VI,Habitable
Inavar_Prime,Habitable
Indri_VIII,Extinguished
Inferna_Prime,Habitable
Ingraham_B,Habitable
Invernia_II,Habitable
Iota_Geminorum_IV,Destroyed
Iraatan_V,Habitable
Isis_III,Intact
Iso_VII,Intact
Itamish_III,Habitable
Ivor_Prime,Habitable
Iyar,Habitable
Jaffeworld,Intact
Janus_VI,Geologically
Japori_II,Habitable
Jaros_II,Habitable
Jaxxa_Prime,Habitable
Jengus_IV,Habitable
J'naii_(planet),Habitable
Juhraya,Habitable
Jupiter,Intact
Jura'assic_IV,Intact
K'Tuevon_Prime,Habitable
Kabatris,Habitable
Kabrel_I,Habitable
Kabrel_II,Intact
Kaelon_II,Habitable
Kaijur_XII,Habitable
Kaldra_IV,Habitable
Kalla_III,Habitable
Kaminar,Habitable
Kanda_IV,Habitable
Kantare_(planet),Habitable
Kaphar_Prime,Habitable
Karemma_(planet),Habitable
Karzill_IV,Habitable
Kataan,Destroyed
Kavaria,Habitable
Kavis_Alpha_IV,Intact
Kei,Intact
Kelfour_VI,Destroyed;
Kelva,Habitable
Kelvas_Prime,Habitable
Kelvas_V,Habitable
Kenda_II,Habitable
Kepler-174d,Habitable
Kepler-22b,Habitable
Kerkhov,Intact
Kesprytt_III,Habitable
Kessik_IV,Habitable
Khefka_IV,Habitable
Khitomer,Habitable
Khosla_II,Habitable
Khwopa,Habitable
Kiley_279,Habitable
Klaestron_IV,Habitable
Klavdia_III,Habitable
Klendth,Habitable
Kobliad_(planet),Habitable
Kolarus_III,Habitable
Kora_II,Habitable
Koralis_III,Intact
Korma,Habitable
Korris_I,Habitable
Kostolain,Habitable
Kotara_Barath,Habitable
Kotati,Habitable
Kraus_IV,Habitable
Krulmuth-B,Habitable
Ktaria_VII,Habitable
Kurl,Intact
Kwejian_(planet),Destroyed
Kyana_Prime,Habitable
Kylata_II,Habitable
Kyron_4,Intact
Kzin,Habitable
L-374_I,Intact
L-374_II,Intact
L-374_III,Destroyed
L-374_IV,Destroyed
L-S_VI,Habitable
Lactra_VII,Habitable
Lamenda_Prime,Intact
Landris_II,Habitable
Lapeeria,Habitable
Lappa_IV,Habitable
Largo_V,Habitable
Latonaworld,Intact
Lauren_III,Intact
Lav'oti_V,Habitable
Ledonia_III,Habitable
Ledos,Habitable
Legara_IV,Habitable
Lemma_II,Habitable
Lerishi_IV,Habitable
Lessek_Prime,Intact
Levinius_V,Habitable
Ligobis_X,Habitable
Ligon_II,Habitable
Ligos_VII,Habitable
Lilliput_IX,Intact
Lissepia,Habitable
Locarno,Habitable
Loren_III,Habitable
Loresworld,Habitable
Loval,Habitable
LT-358,Intact
Ludovko_IX,Habitable
Luria,Habitable
Lya_III,Habitable
Lya_IV,Habitable
Lysia,Habitable
M'talas_Prime,Habitable
M-11,Habitable
M-113,Habitable
Maarek_III,Habitable;
Mab-Bu_VI,Intact
Magus_III,Habitable
Majalis,Habitable
Makus_III,Habitable
Malaya_IV,Habitable
Malcor_III,Habitable
Malindi_VII,Habitable
Malkus_IX,Habitable
Malon_Prime,Habitable
Man-us_II,Habitable
Manark_IV,Habitable
Mantilles,Habitable
Manu_III,Habitable
Maranga_IV,Habitable
Maravel,Habitable
Marcos_XII,Habitable
Marcus_II,Habitable
Marejaretus_VI,Habitable
Mariah_IV,Habitable
Marijne_VII,Intact
Mariposa_(planet),Habitable
Marlonia,Habitable
Mars,Destroyed;
Marva_IV,Habitable
Mataline_II,Habitable
Matiovsky_IV,Intact
Mavok_Prime,Habitable
Maxia_Zeta_III,Intact
Maxia_Zeta_IV,Intact
McKnight's_Planet,Intact
Meezan_IV,Habitable
Meldrar_I,Habitable
Meles_II,Habitable
Melina_II,Habitable
Melnos_IV,Intact
Melona_IV,Devastated
Merak_II,Habitable
Mercury_(planet),Intact
Meridian,In
Merik_III,Intact
Meslah_V,Destroyed
Midos_V,Habitable
Mikah,Intact
Milika_III,Habitable
Minara_II,Destroyed
Minas_V,Habitable
Minnobia,Habitable
Minos,Habitable
Minos_Korva_(planet),Habitable
Mintaka_III,Habitable
Miri_(planet),Habitable
Miridian_VI,Habitable
Mislen,Habitable
Mithren,Habitable
Mixtus_II,Intact
Mixtus_III,Intact
Mizar_II,Habitable
M'kemas_III,Habitable
Moab_I,Intact
Moab_II,Intact
Moab_III,Intact
Moab_IV,Intact
Moab_V,Intact
Moab_VI,Intact
Molmol's_homeworld,Habitable
Monac_IV,Intact
Mora_V,Habitable
Mordan_IV,Habitable
Moreyworld,Intact
Morikin_VII,Habitable
Morska,Habitable
Motherlode,Habitable
Mudd,Intact
Mudor_V,Intact
Mundahla,Habitable
Murder_Planet,Active
Myrmidon,Habitable
N'Vak,Habitable
Na'rel,Habitable
Nahmi_IV,Habitable
Nanibia_Prime,Intact
Napinne,Intact
Narendra_III,Habitable
Narita's_Planet,Intact
Narva,Habitable
Nasreldine,Intact
Nausicaa,Habitable
Nel_III,Habitable
Nelvana_I,Intact
Nelvana_II,Intact
Nelvana_IV,Intact
Nelvana_V,Intact
Nepenthe,Habitable
Neptune,Intact
Nervala_IV,Habitable
Neubilia_Prime,Habitable
Neural,Habitable
New_Axton,Habitable
New_Bajor,Habitable
New_Brooklyn_IX,Intact
New_Earth,Habitable
New_Gaul,Habitable
New_Halana,Habitable
New_Mecca,Intact
New_Paris,Habitable
New_Sydney,Habitable
New_Vulcan,Habitable
Ni'Var,Habitable
Nibia,Intact
Nimbus_III,Habitable
Ninipia_Prime,Habitable
Nivoch,Intact
Noble_Isle,Habitable
Nollman's_Planet,Intact
Norpin_V,Habitable
Nyria_III,Habitable
Nyria_V,Intact
Oby_VI,Habitable
Ocampa_(planet),Intact
Oceanus_IV,Habitable
Ockmenic_9,Habitable
Ogat,Habitable
Ogus_II,Habitable
Ohniaka_III,Habitable
Omega_IV,Habitable
Omega_Centus_I,Intact
Omega_Cygni,Habitable
Omekla_III,Habitable
Omicron_IV,Habitable
Omicron_Ceti_III,Habitable
Omicron_Lyrae,Intact
Omicron_Theta,Intact
Ophiucus_III,Habitable
Ophiucus_VI,Habitable
Oran'taku_(planet),Habitable
Orelious_IX,Destroyed
Orellius,Habitable
Orendal_V,Habitable
Organia,Habitable
Orias_III,Habitable
Orion_I,Habitable
Orion_III,Habitable
Ornara,Habitable
O'Ryan's_Planet,Intact
Oshionian_Prime,Habitable
Osinar_VI,Habitable
Otar_II,Habitable
Pacifica,Habitable
Pahvo,Habitable
Pakled_Planet,Destroyed
Paksor_III,Habitable
Pandro,Habitable
Panora,Habitable
Paraagan_II,Extinguished
Parada_II,Habitable
Parada_IV,Intact
Parliament,Habitable
Parnassus_Beta,Habitable
Parsion_III,Intact
Peliar_Zel_II,Habitable
Pelleus_V,Intact
Pendari_(planet),Habitable
Pendi_II,Habitable
Pentarus_II,Habitable
Pentarus_III,Intact
Pentarus_V,Habitable
Pentath_III,Habitable
Penthara_IV,Habitable
Pernaia_Prime,Intact
Perrican_(planet),Habitable
Persephone_I,Intact
Persephone_II,Intact
Persephone_III,Habitable
Persephone_IV,Intact
Persephone_V,Habitable
Persephone_VI,Intact
Persephone_VII,Intact
Persephone_VIII,Intact
Persioff_IX,Habitable
Phanos,Habitable
Phylos,Habitable
Pijar,Habitable
Platonius,Habitable
Pluto,Intact
Plymeria,Habitable
Pollux_IV,Habitable
Pollux_V,Intact
Porakas_IV,Habitable
Porathia,Intact
Portas_V,Habitable
Posell_VI,Habitable
Potak_III,Habitable
Pragine_63,Abandoned
Prakal_II,Habitable
Preenos,Habitable
Prema_II,Habitable
Procyon_V,Intact
Prospect_VII,Habitable
Prospero_Alpha,Habitable
Psi_2000,Destroyed
Psi_Epsilon_III,Habitable
Psi_Epsilon_IV,Habitable
Psi_Upsilon_IV,Habitable
Pullock_V,Habitable
Purmata_VI,Intact
Putak_VIII,Intact
Pyris_VII,Habitable
Pythro_V,Habitable
Planet_Q,Habitable
Qo'noS,Habitable
Qu'Vat,Habitable
Quadra_Sigma_III,Habitable
Qualor_II,Habitable
Quatal_Prime,Habitable
Quazulu_VIII,Habitable
Rahm-Izad,Intact
Rakal_(planet),Intact
Rakella_Prime,Habitable
Rakosa_V,Habitable
Ramatis_III,Habitable
Ramura,Habitable
Rana_IV,Devastated
Ranuos_VI,Habitable
Raritan_IV,Habitable
Rator_III,Habitable
Razna_V,Habitable
Regulus_(planet),Habitable
Regulus_III,Habitable
Regulus_V,Habitable
Regulus_II,Habitable
Rekag-Seronia,Habitable
Relva_VII,Habitable
Remmil_VI,Habitable
Remus,Destroyed
Renavi,Habitable
Rhymus_Major,Habitable
Rigel_II,Habitable
Rigel_III,Habitable
Rigel_IV,Habitable
Rigel_V,Habitable
Rigel_VII,Habitable
Rigel_X,Habitable
Rigel_XII,Habitable
Risa,Habitable
Rochani_III,Habitable
Romulus,Destroyed
Ronara_Prime,Habitable
Rondac_III,Habitable
Rooseworld,Intact
Rosseau_V,Intact
Ruah_IV,Habitable
Rubicun_III,Habitable
Sahndara_(planet),Destroyed
Sakura_Prime,Habitable
Saltah'na_(planet),Habitable
Salva_II,Habitable
Sanctuary_Four,Habitable
Sarnia_Prime,Habitable
Sarona_VIII,Habitable
Sarpedion_V,Habitable
Sarpeidon,Destroyed
Sarthong_V,Habitable
Saturn,Intact
Scalos,Intact
Secarus_IV,Habitable
Sefalla_Prime,Intact
Seiji_Major,Intact
Selay_(planet),Habitable
Selcundi_Drema,Habitable
Seldonis_IV,Habitable
Sentinel_Minor_IV,Habitable
Septimis_Minor,Habitable
Septimus_III,Habitable
Seros,Habitable
Setlik_II,Habitable
Setlik_III,Habitable
Sha_Ka_Ree_(planet),Habitable
Shantil_III,Habitable
Sherbal_V,Habitable
Sherman's_Planet,Habitable
Shiralea_VI,Habitable
Sigma_Draconis_I,Intact
Sigma_Draconis_II,Intact
Sigma_Draconis_III,Habitable
Sigma_Draconis_IV,Habitable
Sigma_Draconis_V,Intact
Sigma_Draconis_VI,Habitable
Sigma_Draconis_VII,Intact
Sigma_Draconis_VIII,Intact
Sigma_Draconis_IX,Intact
Sigma_Iotia_II,Habitable
Sigma_Tama_IV,Habitable
Sigma_X,Intact
Sikaris,Habitable
Sirius_IX,Habitable
Sirrie_IV,Habitable
Sobras,Habitable
Solais_V,Habitable
Solarion_IV,Habitable
Solosos_III,Habitable
Soltok_IV,Habitable
Solum,Uninhabitable
Sothis_III,Habitable
Soukara,Habitable
Stakoron_II,Habitable
Straleb,Habitable
Styris_IV,Habitable
Suvin_IV,Intact
Sumiko_III,Habitable
Sumiko_IV,Habitable
Surata_IV,Habitable
T'Khut,Intact
Tagra_IV,Habitable
Tagus_III,Habitable
Takara,Habitable
Talax,Habitable
Talaxia,Habitable
Talos_I,Intact
Talos_II,Intact
Talos_III,Habitable
Talos_IV,Habitable
Talos_V,Intact
Talos_IV_(mirror),Depopulated
Tantalus_V,Habitable
Tarakis,Habitable
Tarchannen_III,Habitable
Tarella,Intact
Taresia,Habitable
Tarod_IX,Intact
Tarsas_IV,Habitable
Tarsus_IV,Habitable
Tartaras_V,Habitable
Tau_Alpha_C,Habitable
Tau_Ceti_Prime,Habitable
Tau_Ceti_III,Habitable
Tau_Ceti_IV,Habitable
Taurus_II,Habitable
Tavela_Minor,Habitable
Telemarius_IV,Habitable
Telfas_Prime,Habitable
Tellar_Prime,Habitable
Teluridian_IV,Intact
Terlina_III,Habitable
Terosa_Prime,Intact
Terra_10,Intact
Terralysium,Habitable
Tessen_III,Habitable
Thalos_VI,Habitable
Thalos_VII,Habitable
Thanatos_VII,Habitable
Thasus,Intact
Thasus_IV,Intact
Thelka_IV,Habitable
Therbia,Habitable
Theta_III,Intact
Theta_VII,Habitable
Theta_VIII,Intact
Theta_Cygni_XII,Intact
Theta_Omicron_IV,Intact
Theta_Zeta,Intact
Theta_Zibal_III,Habitable
Tethys_III,Intact
Tiburon,Habitable
Tilonus_IV,Habitable
Titus_IV,Intact
T'Lani_III,Intact
T'Lani_Prime,Habitable
T'lli_Beta,Habitable
Tohvun_III,Habitable
Torad_V,Habitable
Torga_IV,Habitable
Torna_IV,Habitable
Torona_IV,Intact
Torros_III,Habitable
Totoro,Intact
Tracken_II,Habitable
Triacus,Habitable
Trialas_IV,Habitable
Trill_(planet),Habitable
Triskelion,Habitable
Triskelion_Prime,Habitable
Troyius,Habitable
Tulgana_IV,Habitable
Turkana_IV,Habitable
Planet_Two,Active
Tycho_IV,Habitable
Tyree_(planet),Habitable
Tyrellia,Habitable
Tyrus_VII,Habitable
Tzenketh,Habitable
Ufandi_III,Intact
Ultima_Thule,Habitable
Umoth_VIII,Habitable
Unefra_III,Habitable
Uranus,Intact
Vacca_VI,Habitable
Vadris_III,Habitable
Vagra_II,Barely
Valeo_Beta_V,Intact
Valo_I,Habitable
Valo_II,Habitable
Valo_III,Habitable
Valt_Minor,Habitable
Vanden_Prime,Habitable
Vandros_IV,Habitable
Vashti,Habitable
Vaytan_I,Intact
Vega_IX,Habitable
Velara_III,Intact
Velos_VII,Habitable
Veloz_Prime,Habitable
Vendikar,Habitable
Vendor_Prime,Habitable
Vener_VII,Intact
Ventax_II,Habitable
Venus,Undergoing
Verdanis,Habitable
Vergessen,Habitable
Veridian_I,Intact
Veridian_II,Intact
Veridian_III,Habitable
Veridian_IV,Habitable
Veridian_V,Intact
Veridian_VI,Intact
Vilmor_II,Habitable
Volan_II,Habitable
Volan_III,Habitable
Volchok_Prime,Habitable
Vulcan_(alternate_reality),Destroyed
Wenselworld,Intact
Wrigley's_pleasure_planet,Habitable
Wynsdey_III,Habitable
Xahea,Habitable
Xanthras_III,Intact
Xantoras_(planet),Habitable
Xendi_Sabu_IX,Habitable
Xerxes_VII,Intact
Xindus,Destroyed
Yadalla_Prime,Habitable
Yadera_Prime,Habitable
Yadera_II,Habitable
Yonada_Prime,Habitable
Yridia_I,Habitable
Yuri,Intact
Zadar_IV,Habitable
Zalkon,Habitable
Zayra_IV,Habitable
Zeon_(planet),Habitable
Zeon_Minor,Intact
Zeta_Alpha_II,Habitable
Zeta_Antaras_IV,Intact
Zetar,Destroyed
Zimja,Intact
Zoraster_II,Habitable
Zytchin_III,Habitable
